time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/success_rate,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/clip_range,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/clip_fraction,train/std,train/policy_gradient_loss,train/entropy_loss,train/loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
6380,282,208.54,0.24,45,1635.7869658599998,288768,2810,0.28763512164799265,5.0684521378783264e-05,5002.479132080078,0.0060893684,1.7881393432617188e-07,0.00400390625,1.003675103187561,-0.00746129517792724,-7.107946190237999,4576.986328125,,,
6411,283,209.39,0.23,45,1641.8494624799998,289792,2820,0.28763512164799265,5.0684521378783264e-05,7205.5015625,0.005188989,0.0,0.00166015625,1.0026490688323975,-0.006867745766066946,-7.106972005963326,6888.21826171875,,,
6438,284,209.39,0.23,45,1649.5058915000004,290816,2830,0.28763512164799265,5.0684521378783264e-05,9587.949533081055,0.0006020201,2.384185791015625e-07,0.0,1.0015982389450073,-0.0011470767349237576,-7.1015686184167865,9355.16015625,,,
6465,285,207.03,0.24,45,1650.8475710800003,291840,2840,0.28763512164799265,5.0684521378783264e-05,13807.545623779297,0.0012322334,7.152557373046875e-07,0.0,1.0022642612457275,-0.001841338985832408,-7.100464618206024,13232.515625,,,
6493,286,209.07,0.23,45,1653.9904986599995,292864,2850,0.28763512164799265,5.0684521378783264e-05,8728.78123779297,0.00097085437,0.0,0.0,1.0017836093902588,-0.0016329305159160866,-7.101444408297539,10143.2021484375,,,
6524,287,208.07,0.24,45,1662.4640909299999,293888,2860,0.28763512164799265,5.0684521378783264e-05,7045.690151977539,0.0023682043,1.7881393432617188e-07,0.0,1.0025155544281006,-0.0029198803822509944,-7.1018927782773975,7154.349609375,,,
6552,288,209.45,0.23,45,1638.2240810399996,294912,2870,0.28763512164799265,5.0684521378783264e-05,9765.449389648438,0.0008831927,1.1920928955078125e-07,0.0,1.0021693706512451,-0.002358600865409244,-7.1031115561723706,10106.9091796875,,,
6580,289,210.92,0.22,44,1640.0106307800002,295936,2880,0.28763512164799265,5.0684521378783264e-05,2968.642858886719,0.008674065,-4.76837158203125e-07,0.00859375,1.0026586055755615,-0.007679272399400361,-7.103367930650711,2049.180908203125,,,
6612,290,211.55,0.21,44,1652.3719284099998,296960,2890,0.28763512164799265,5.0684521378783264e-05,7736.317446899414,0.00068249536,1.7881393432617188e-07,0.0,1.0023577213287354,-0.0016927602468058468,-7.103276988863945,7051.18701171875,,,
6639,291,214.08,0.19,44,1659.5708121000002,297984,2900,0.28763512164799265,5.0684521378783264e-05,11998.732379150391,0.0037474923,0.0,0.00029296875,1.0028226375579834,-0.0048462471517268565,-7.1032931983470915,11808.12890625,,,
6668,292,217.86,0.18,44,1709.6300778099996,299008,2910,0.28763512164799265,5.0684521378783264e-05,8827.670309448242,0.00097269425,0.0,0.0,1.0022315979003906,-0.0017439395072869957,-7.103121516108513,8803.83984375,,,
,,,,,,300000,2920,0.28763512164799265,5.0684521378783264e-05,11320.344134521485,0.0004295949,0.0,0.0,1.0018559694290161,-0.0008570559279178269,-7.100354769825936,12314.9248046875,0.0,1390.4363191999998,250.0
6698,293,219.48,0.17,44,1705.0411759300002,300032,,,,,,,,,,,,,,
6734,294,220.78,0.16,44,1693.8026761,301056,2930,0.28763512164799265,5.0684521378783264e-05,6573.926516723633,0.0036227722,-1.1920928955078125e-07,0.0001953125,1.002302885055542,-0.0035720346379093824,-7.100491523742676,5038.2880859375,,,
6765,295,220.98,0.16,44,1672.14933486,302080,2940,0.28763512164799265,5.0684521378783264e-05,7391.286633300781,0.0012350867,-2.384185791015625e-07,0.0,1.0025466680526733,-0.002169881749432534,-7.102252477407456,6547.5966796875,,,
6794,296,223.35,0.15,44,1678.36334812,303104,2950,0.28763512164799265,5.0684521378783264e-05,5111.201928710938,0.003494867,-2.384185791015625e-07,0.00048828125,1.0026159286499023,-0.0039034188899677246,-7.1034917563199995,5344.43359375,,,
6822,297,223.35,0.15,44,1672.4033380499998,304128,2960,0.28763512164799265,5.0684521378783264e-05,8579.953170776367,0.0010331972,1.1920928955078125e-07,0.0,1.002798080444336,-0.0013991600499139167,-7.1038575828075405,7074.2197265625,,,
6856,298,225.65,0.14,44,1722.20136553,305152,2970,0.28763512164799265,5.0684521378783264e-05,6481.201417541504,0.0012861845,-1.1920928955078125e-07,0.0,1.0033048391342163,-0.0022451389057096096,-7.105500835180282,6145.7451171875,,,
6886,299,220.54,0.17,44,1704.7228673899997,306176,2980,0.28763512164799265,5.0684521378783264e-05,11022.76675720215,0.0005133788,1.1920928955078125e-07,0.0,1.0029646158218384,-0.0016646506905090065,-7.106210213899613,12537.2919921875,,,
6918,300,222.12,0.16,44,1714.7033849599998,307200,2990,0.28763512164799265,5.0684521378783264e-05,6150.6284103393555,0.004587601,3.5762786865234375e-07,0.00126953125,1.0036404132843018,-0.00472741755656898,-7.1067339211702345,6217.9140625,,,
6948,301,222.12,0.16,44,1738.51843571,308224,3000,0.28763512164799265,5.0684521378783264e-05,7109.633526611328,0.0015038785,-1.1920928955078125e-07,0.0,1.0034239292144775,-0.0026988119148882105,-7.10828649699688,6346.31689453125,,,
6978,302,222.41,0.15,44,1726.9038861200002,309248,3010,0.28763512164799265,5.0684521378783264e-05,9768.295523071289,0.0033274563,-1.1920928955078125e-07,0.00048828125,1.0032449960708618,-0.004009179657441564,-7.107328072190285,10604.3779296875,,,
7007,303,225.06,0.14,44,1766.91241392,310272,3020,0.28763512164799265,5.0684521378783264e-05,6515.526177978516,0.0013140731,-1.3113021850585938e-06,0.0,1.0043871402740479,-0.002123004064196721,-7.109558939933777,7053.35400390625,,,
7039,304,227.01,0.13,44,1778.1256263900002,311296,3030,0.28763512164799265,5.0684521378783264e-05,9636.105773925781,0.000830795,-2.384185791015625e-07,0.0,1.004394769668579,-0.0013894186791731044,-7.112852498888969,9801.91015625,,,
7068,305,227.01,0.13,44,1764.0160516199999,312320,3040,0.28763512164799265,5.0684521378783264e-05,5543.878578186035,0.0024287184,-2.384185791015625e-07,0.0,1.0045654773712158,-0.0026631069849827327,-7.113142368197441,5057.119140625,,,
7097,306,225.08,0.14,44,1738.3757761000002,313344,3050,0.28763512164799265,5.0684521378783264e-05,5726.3778671264645,0.0016906128,1.1324882507324219e-06,0.0001953125,1.0033175945281982,-0.0027025436473195443,-7.110701349377632,5977.7734375,,,
7131,307,227.44,0.13,44,1739.2949093400007,314368,3060,0.28763512164799265,5.0684521378783264e-05,9969.048596191406,0.00065593934,-3.5762786865234375e-07,0.0,1.0026319026947021,-0.0016929289864492602,-7.105275750160217,9318.4111328125,,,
7160,308,227.44,0.13,44,1730.38909304,315392,3070,0.28763512164799265,5.0684521378783264e-05,4977.6902725219725,0.0068115406,2.384185791015625e-07,0.0017578125,1.0025489330291748,-0.006489901241729967,-7.10345030426979,4433.05029296875,,,
7205,309,228.06,0.12,43,1735.56905339,316416,3080,0.28763512164799265,5.0684521378783264e-05,9133.08656616211,0.0025352272,-2.384185791015625e-07,0.0,1.0012012720108032,-0.003749885389697738,-7.099882438778877,8709.7001953125,,,
7252,310,228.06,0.12,43,1749.1786069199998,317440,3090,0.28763512164799265,5.0684521378783264e-05,8116.090905761719,0.0034232456,1.1920928955078125e-07,0.0001953125,1.0022536516189575,-0.004747097112704069,-7.098672479391098,8440.587890625,,,
7299,311,227.82,0.12,43,1757.6284342299998,318464,3100,0.28763512164799265,5.0684521378783264e-05,5776.841400146484,0.006696107,-1.1920928955078125e-07,0.00234375,1.0019383430480957,-0.006602335155184847,-7.100890010595322,6046.8095703125,,,
7343,312,227.82,0.12,43,1738.9444756599999,319488,3110,0.28763512164799265,5.0684521378783264e-05,7031.658822631836,0.0013614742,-1.1920928955078125e-06,0.0,1.0014636516571045,-0.0026779955718666316,-7.098677214980126,8194.72265625,,,
