timestep,curriculum_level,reward,length,final_distance,success
13838,0,857.338501,200,0.22243196528314307,False
14038,0,837.675271,200,0.19888804569476531,False
14238,0,1125.667396,200,0.13532808296635596,False
14438,0,978.846613,200,0.17874271526938448,False
14638,0,1266.13202,200,0.14361555636990397,False
14838,0,877.429849,200,0.18648494385118852,False
15038,0,1024.052185,200,0.17544313584725407,False
15238,0,1194.542624,200,0.06589024245349492,False
15438,0,1015.938243,200,0.1090202137293572,False
15638,0,1052.77554,200,0.18547126250926013,False
15838,0,1165.614334,200,0.18489850854364043,False
16038,0,1045.369987,200,0.16320921993236992,False
16091,0,429.489977,53,0.011470573134890685,True
16291,0,1539.502147,200,0.12225746861604378,False
16373,0,474.970025,82,0.0288753389492971,True
16573,0,417.23423,200,0.2547138403696747,False
16773,0,754.325153,200,0.2351245873924893,False
16917,0,991.421453,144,0.02747200801297152,True
17117,0,1050.908131,200,0.22130435297658702,False
17317,0,744.487951,200,0.14037886657382206,False
17517,0,870.619747,200,0.21305204717224924,False
17717,0,945.453665,200,0.15558298438971727,False
17917,0,945.421737,200,0.20242581548639454,False
18117,0,906.833855,200,0.13631545266748143,False
18317,0,962.857401,200,0.2556901944479051,False
18517,0,713.107133,200,0.08915256596400817,False
18717,0,1186.408817,200,0.029005940009716805,True
18917,0,1164.439784,200,0.23840380852026116,False
19117,0,1304.088904,200,0.18694822676440853,False
19317,0,1443.47785,200,0.10129321234245747,False
19443,0,988.087938,126,0.02687704470214614,True
19501,0,363.127647,58,0.019778045020377617,True
19701,0,709.761841,200,0.24444835732812223,False
19901,0,1383.342441,200,0.10763212137719524,False
20101,0,1211.141987,200,0.11417205995689754,False
20196,0,586.967768,95,0.025379526191596096,True
20396,0,1472.295731,200,0.1337821555573031,False
20524,0,836.366728,128,0.025938136373051326,True
20724,0,1185.247158,200,0.1534010969714263,False
20924,0,803.618452,200,0.3034670517788416,False
21124,0,589.310595,200,0.3159015648671056,False
21324,0,988.579151,200,0.22010671388128186,False
21524,0,1260.22201,200,0.13942058700693072,False
21724,0,809.32953,200,0.20681757888696023,False
21924,0,1154.903124,200,0.23702781849743523,False
22043,0,982.164602,119,0.020898704973995996,True
22243,0,1046.840762,200,0.15294708367544135,False
22426,0,1067.761176,183,0.026357083921001234,True
22626,0,998.788617,200,0.16334507578250798,False
22826,0,792.899764,200,0.22666435878647126,False
23026,0,871.754818,200,0.2022278468522487,False
23226,0,650.789842,200,0.27146587726843163,False
23426,0,933.166749,200,0.2404858221088003,False
23626,0,745.977774,200,0.2312590357924183,False
23826,0,1009.515179,200,0.21372943827911503,False
24026,0,886.047706,200,0.22568698069398957,False
24226,0,1067.532649,200,0.18863594210955528,False
24426,0,1346.546938,200,0.07275349820919856,False
24491,0,408.475244,65,0.02972353977927561,True
24691,0,997.184532,200,0.23205507811720572,False
