curriculum/radius,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/n_updates,train/std,train/explained_variance,train/loss,train/approx_kl,train/learning_rate,eval/mean_ep_length,eval/success_rate,eval/mean_reward
0.5180486,151.59,15,583,420,-36.75550862,0.56,245760,0.07608642578125,0.2560204063533433,-0.0036377078784425977,13.679951055906713,-6.686484385281801,140,0.9198522567749023,0.41991961002349854,6.670718193054199,0.010443543,7.591104805282687e-05,,,
0.5180486,,,,,,True,250000,0.0628662109375,0.2560204063533433,-0.0031557590736156272,11.858670372888445,-6.666101992875338,150,0.9179272651672363,0.5095831751823425,7.996321678161621,0.010768655,7.591104805282687e-05,172.65,0.35,-67.09034799999998
0.5180486,141.92,16,579,452,-44.086169569999996,0.61,262144,,,,,,,,,,,,,,
0.5180486,164.14,17,579,480,-54.64380539,0.51,278528,0.095526123046875,0.2560204063533433,-0.006153180449928186,13.431605306826532,-6.646840454265475,160,0.9137288331985474,0.5786283016204834,7.530667781829834,0.013808588,7.591104805282687e-05,,,
0.5180486,139.9,18,578,509,-27.468662569999996,0.66,294912,0.0861328125,0.2560204063533433,-0.005101675224977953,10.138412567880005,-6.618615623190999,170,0.9074423909187317,0.6823168992996216,6.025862216949463,0.012378404,7.591104805282687e-05,,,
0.5180486,,,,,,True,300000,0.081658935546875,0.2560204063533433,-0.005044467242350947,13.522106960043311,-6.587812992185354,180,0.9025552868843079,0.5801708698272705,7.223090171813965,0.012447072,7.591104805282687e-05,184.3,0.3,-60.87494785
0.5180486,151.78,19,573,542,-42.836210570000006,0.56,311296,,,,,,,,,,,,,,
0.5180486,155.8,20,571,573,-39.6017894,0.58,327680,0.07042236328125,0.2560204063533433,-0.0027998104445487114,11.045649886131287,-6.564444893598557,190,0.8992905616760254,0.6305115222930908,8.942425727844238,0.010815231,7.591104805282687e-05,,,
0.5180486,162.63,21,571,601,-45.61248508,0.45,344064,0.072735595703125,0.2560204063533433,-0.0038034792683902196,11.4163350449875,-6.541455244272948,200,0.8943277597427368,0.628928542137146,12.947036743164062,0.012338914,7.591104805282687e-05,,,
0.5180486,,,,,,False,350000,0.08314208984375,0.2560204063533433,-0.004224285765121749,9.055231226794422,-6.511626810580492,210,0.889005184173584,0.6275665163993835,2.652086019515991,0.012072282,7.591104805282687e-05,180.8,0.3,-17.94623375
0.5180486,128.36,22,568,634,-26.295815620000003,0.64,360448,,,,,,,,,,,,,,
