episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes,final_joint_angles,target_pos
54,1303.462631,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.08079189,0.39443314,0.6967118 ]"
55,685.845718,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.0100871, 0.2801311, 1.1871989]"
56,884.377628,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.02778907, 0.42168352, 1.1959828 ]"
57,1136.402845,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.14092727,0.41518438,0.6946881 ]"
58,2445.310437,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.05754849,0.48932162,0.79924214]"
59,3379.335308,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.09520183, 0.56251717, 0.87030125]"
60,1262.612049,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.17494409,0.43895972,0.988799  ]"
61,196.966422,7,1,0.148790967464447,1,"[ 1.3250134 , 1.562     , 2.0857    ,-0.91920817,-0.00781945]","[-0.20831646, 0.49246714, 0.9662981 ]"
62,337.269257,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.16350532, 0.02155237, 0.57870233]"
63,285.689831,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.23157871,0.02765998,1.070345  ]"
64,2415.48923,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.16945662, 0.5409354 , 0.9544354 ]"
65,397.373098,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.05538776,0.07856373,0.56539786]"
66,1407.748617,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.14311188, 0.4265732 , 0.6654708 ]"
67,1716.115199,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.08537362,0.47709545,1.01713   ]"
68,2774.193681,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.06740446, 0.4959677 , 0.7720206 ]"
69,1480.926536,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.08584864,0.4648253 ,1.040445  ]"
70,458.713904,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.25722936, 0.24918954, 1.2398582 ]"
71,1647.118569,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.16965136, 0.4257275 , 0.7267476 ]"
72,1235.604351,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.17058066, 0.4217941 , 0.6579547 ]"
73,456.725701,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.3085902 ,0.15827654,0.9384603 ]"
74,942.837192,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.13516858,0.4114411 ,1.108759  ]"
75,329.610066,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.22677732, 0.14754038, 1.2677029 ]"
76,2827.791042,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.03844314,0.52430683,0.8137568 ]"
77,2032.324589,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.03591821, 0.44690713, 0.7256772 ]"
78,3293.554891,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.09489462, 0.5357699 , 0.8685086 ]"
79,369.51855,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.21653847,0.17878525,1.1872774 ]"
80,1001.391137,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.06217832, 0.4134292 , 1.154398  ]"
81,645.595611,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.01412123, 0.31635952, 1.2102051 ]"
82,2918.997799,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.13335776, 0.5210763 , 0.89669555]"
83,495.241938,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.0807422 ,0.16672277,0.56679565]"
84,530.649381,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.26380292,0.24400066,0.7111851 ]"
85,697.622061,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.28663605,0.33640844,0.8040562 ]"
86,1415.179643,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.10238045, 0.47499374, 1.1012307 ]"
87,1893.721893,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.03143184,0.48629606,0.70504546]"
88,1495.176073,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.05344624,0.4188365 ,0.69513375]"
89,307.505635,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.22013822,0.13736384,1.2085756 ]"
90,442.377766,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.01080133, 0.22677733, 1.2884966 ]"
91,2641.969189,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.12847044, 0.521344  , 0.7866382 ]"
92,1537.898278,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.20876686, 0.457347  , 0.73405236]"
93,3537.564837,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.03770107, 0.57132554, 0.8539974 ]"
94,406.593706,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.3288965 ,0.17726225,0.8242816 ]"
95,398.120861,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.30794328,0.16423905,1.0393221 ]"
96,1545.592192,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.12529388,0.41144878,0.8173    ]"
97,891.918427,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.22131114, 0.32091203, 0.6599265 ]"
98,633.049368,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.25217208,0.30716315,1.0212982 ]"
99,1624.980842,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.06528794, 0.43983483, 0.6680104 ]"
100,1797.395006,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.2225648 , 0.48420978, 0.95088214]"
101,349.360533,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.20906511,0.10105796,1.0911622 ]"
102,723.631986,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.10997074, 0.29644993, 0.5538083 ]"
103,712.342861,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.23605777,0.28073168,0.91991746]"
104,3494.002378,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.04834487, 0.53274214, 0.8699527 ]"
105,321.971862,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.32390124,0.08818889,1.0656883 ]"
106,639.056694,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.06726789,0.29773495,1.1733586 ]"
107,362.537668,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.2690121 ,0.13033456,1.0824174 ]"
108,2513.146081,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.17399922, 0.5439874 , 0.8303961 ]"
109,1893.467625,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.0473413 ,0.49864402,1.0271244 ]"
110,1769.812656,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.11354784, 0.4308203 , 0.70756733]"
111,3146.916285,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.02934183, 0.53020924, 0.80458707]"
112,408.543407,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.25455847,0.09676827,0.950855  ]"
113,904.43576,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.2172547 ,0.38152075,0.7509697 ]"
114,2753.188851,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.03627283,0.51436085,0.79927355]"
115,1140.205487,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.18782507,0.45670336,1.0112642 ]"
116,611.91844,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.04030723,0.25929347,0.5375667 ]"
117,695.391887,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.21194264,0.29141176,0.6726561 ]"
118,703.292709,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.04041545,0.29061142,0.54231215]"
119,1551.300444,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.15532477,0.4509216 ,0.84032553]"
120,2967.844331,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.13509186, 0.5433579 , 0.90230405]"
