#{"t_start": 1747816997.7497945, "env_id": "None"}
r,l,t
1323.831141,200,824.054423
1260.57821,200,824.332592
1092.663659,200,824.605584
353.048477,47,824.667581
917.935252,200,827.733948
1587.701505,200,828.009579
1132.946089,200,828.304176
1379.549327,200,828.550956
1500.386987,200,828.814826
1342.26593,200,829.087372
252.590395,25,829.116992
946.572487,200,829.383935
1556.046165,200,829.657202
1060.874981,200,829.93168
998.853275,200,830.276945
922.399908,200,833.2065
1304.916561,200,833.475321
931.879802,200,833.751525
1501.01198,200,834.014947
1451.305271,200,834.270431
995.302887,200,834.53802
842.871691,200,834.808178
582.810022,75,834.954844
1526.055588,200,835.292266
999.679801,200,835.565385
840.610792,200,835.835929
1185.370638,200,838.815569
836.243411,200,839.0983
914.09323,200,839.354604
749.075005,200,839.629968
1540.447866,200,839.938642
975.782483,200,840.256262
1588.90348,200,840.540846
1325.755242,200,840.800877
1273.132994,200,841.147867
1199.057535,200,841.494782
899.072867,200,844.47411
858.363176,200,844.781537
768.00828,200,845.121849
958.196102,200,845.376506
976.47779,200,845.636129
247.6349,37,845.703245
393.162581,49,845.755976
1150.712985,200,846.028306
1017.703267,200,846.283853
938.707456,200,846.532698
1113.557053,200,846.81219
889.152241,200,847.07525
804.654518,200,850.129823
1088.597033,200,850.395188
282.429975,34,850.426499
1174.892939,200,850.710218
803.253253,200,850.96155
923.257597,200,851.220332
1547.127721,200,851.574814
1277.300294,200,851.858934
1165.137218,200,852.12797
1131.780401,200,852.484766
1735.625898,200,852.782341
1115.500082,200,855.680629
927.29944,200,855.935301
728.357899,200,856.206291
1071.905619,200,856.473103
1432.367679,200,856.733364
860.32403,200,857.042792
1518.988683,200,857.381019
885.149865,200,857.666486
915.887939,200,857.925591
1139.987654,200,858.198788
761.112871,200,861.089226
282.61172,33,861.137311
1436.930674,200,861.414666
1047.72037,200,861.696244
784.962341,200,861.987641
1085.172355,200,862.309428
1748.648119,200,862.57245
764.743812,200,862.849647
1411.10882,200,863.119379
1100.625837,200,863.407414
787.749068,200,863.684934
1134.827758,200,866.683127
1234.769552,200,866.990018
729.407523,200,867.320761
925.258188,200,867.574659
898.921157,200,867.83311
416.984702,52,867.915538
729.102211,200,868.167557
1278.653903,200,868.447332
1141.875054,200,868.719249
248.027701,31,868.767509
1194.569124,200,869.033191
695.77448,200,869.295476
148.760077,17,869.331576
1027.607891,200,872.494593
929.709121,200,872.766337
