rollout/ep_rew_mean,rollout/success_rate,train/ent_coef,train/critic_loss,time/time_elapsed,train/actor_loss,rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/learning_rate,time/fps,time/episodes,eval/mean_ep_length,eval/success_rate,eval/mean_reward
1462.5742502599999,0.07,1.2499123513975974e-08,6.643565654754639,10720,-473.0478515625,235.04,225771,225872,2.4385865138709876e-05,21,940,,,
1466.9527933300005,0.06,1.2499123513975974e-08,7.9225006103515625,10775,-483.99786376953125,236.88,226771,226872,2.4385865138709876e-05,21,944,,,
1493.2643554600002,0.06,1.2499123513975974e-08,6.925676345825195,10829,-479.9251403808594,236.88,227771,227872,2.4385865138709876e-05,21,948,,,
1528.3807714900001,0.05,1.2499123513975974e-08,6.3463826179504395,10884,-474.49114990234375,239.35,228771,228872,2.4385865138709876e-05,21,952,,,
1561.7757359299999,0.04,1.2499123513975974e-08,8.342764854431152,10938,-474.41748046875,240.86,229771,229872,2.4385865138709876e-05,21,956,,,
1566.18870304,0.03,1.2499123513975974e-08,8.523575782775879,10998,-489.35528564453125,243.34,230771,230872,2.4385865138709876e-05,20,960,,,
1574.7801204599998,0.03,1.2499123513975974e-08,7.348855018615723,11066,-486.27435302734375,243.34,231771,231872,2.4385865138709876e-05,20,964,,,
1581.47928251,0.03,1.2499123513975974e-08,8.59249496459961,11133,-486.86700439453125,243.34,232771,232872,2.4385865138709876e-05,20,968,,,
1594.2035455599998,0.03,1.2499123513975974e-08,5.999698162078857,11203,-494.92926025390625,243.34,233771,233872,2.4385865138709876e-05,20,972,,,
1558.79308442,0.03,1.2499123513975974e-08,5.405251502990723,11265,-502.783935546875,243.34,234771,234872,2.4385865138709876e-05,20,976,,,
1543.1543253100003,0.04,1.2499123513975974e-08,8.368438720703125,11310,-489.55560302734375,241.39,235576,235677,2.4385865138709876e-05,20,980,,,
1545.32211846,0.03,1.2499123513975974e-08,5.9662628173828125,11364,-493.7759094238281,243.38,236576,236677,2.4385865138709876e-05,20,984,,,
1555.59830466,0.03,1.2499123513975974e-08,8.299423217773438,11419,-489.9803466796875,243.38,237576,237677,2.4385865138709876e-05,20,988,,,
1604.3792840800002,0.02,1.2499123513975974e-08,7.679594039916992,11473,-493.50567626953125,245.85,238576,238677,2.4385865138709876e-05,20,992,,,
1584.47317186,0.02,1.2499123513975974e-08,6.694551467895508,11527,-501.9598388671875,245.85,239576,239677,2.4385865138709876e-05,20,996,,,
1601.1924018599998,0.02,1.2499123513975974e-08,6.142824172973633,11582,-482.9073486328125,245.85,240576,240677,2.4385865138709876e-05,20,1000,,,
1571.56993744,0.03,1.2499123513975974e-08,6.634369850158691,11624,-488.05596923828125,243.39,241330,241431,2.4385865138709876e-05,20,1004,,,
1569.71388454,0.02,1.2499123513975974e-08,8.085077285766602,11679,-502.5162658691406,245.59,242330,242431,2.4385865138709876e-05,20,1008,,,
1549.80341464,0.02,1.2499123513975974e-08,7.380605697631836,11734,-497.58953857421875,245.59,243330,243431,2.4385865138709876e-05,20,1012,,,
1517.2637306100003,0.02,1.2499123513975974e-08,7.811100006103516,11789,-498.1561279296875,245.59,244330,244431,2.4385865138709876e-05,20,1016,,,
1501.1682346999996,0.02,1.2499123513975974e-08,7.830292701721191,11844,-497.86572265625,245.59,245330,245431,2.4385865138709876e-05,20,1020,,,
1505.1804623899998,0.02,1.2499123513975974e-08,8.212657928466797,11901,-487.911865234375,245.59,246330,246431,2.4385865138709876e-05,20,1024,,,
1520.27469259,0.02,1.2499123513975974e-08,5.422094345092773,11956,-504.4950866699219,245.59,247330,247431,2.4385865138709876e-05,20,1028,,,
1508.6845426299997,0.02,1.2499123513975974e-08,7.374800682067871,12011,-485.1338195800781,245.59,248330,248431,2.4385865138709876e-05,20,1032,,,
1477.0861899800002,0.02,1.2499123513975974e-08,6.905384063720703,12066,-495.0491943359375,245.59,249330,249431,2.4385865138709876e-05,20,1036,,,
,,1.2499123513975974e-08,7.754814147949219,,-486.4464111328125,,249899,250000,2.4385865138709876e-05,,,250.0,0.0,1890.2430864000003
1463.79758075,0.02,1.2499123513975974e-08,6.3854546546936035,12123,-486.00018310546875,245.59,250330,250431,2.4385865138709876e-05,20,1040,,,
1440.8823512600002,0.02,1.2499123513975974e-08,8.331298828125,12178,-501.2884521484375,245.59,251330,251431,2.4385865138709876e-05,20,1044,,,
1418.5277676899998,0.02,1.2499123513975974e-08,7.233792304992676,12234,-491.4727783203125,245.59,252330,252431,2.4385865138709876e-05,20,1048,,,
1426.1100024199995,0.02,1.2499123513975974e-08,6.918623924255371,12292,-501.856689453125,245.59,253330,253431,2.4385865138709876e-05,20,1052,,,
1410.9043762500003,0.02,1.2499123513975974e-08,6.631182670593262,12348,-499.8581237792969,245.59,254330,254431,2.4385865138709876e-05,20,1056,,,
