#{"t_start": 1750312550.00686, "env_id": "None"}
r,l,t
19.94264,48,771.383771
19.739968,47,771.603615
-42.697747,250,772.91747
-48.242442,250,774.337263
9.158585,128,774.982856
19.419449,50,775.215443
-20.85523,250,776.596741
-6.253361,184,777.644432
13.822779,47,777.907465
-287.059725,250,795.718667
-112.635681,250,797.136841
26.063432,16,797.243445
21.513968,27,797.408066
25.504836,14,797.479674
-206.020428,250,798.877268
-24.959287,250,800.220238
6.461009,55,804.616695
20.8696,39,804.830705
-21.190078,225,806.261387
-142.876184,250,807.576855
6.250235,93,808.042506
24.816568,5,808.08528
21.045119,46,808.413852
1-81.579452,250,809.065557.092451,80,809.264072
21.814.205991,91,809.623614.8-202.732166,250,827.41206
25.216668,30,827.58-70.66-35.306992,250,828.992158
-14.322285,244,830.372198
-115.802195,250,831.799485
22.120855,24,831.921652
-321.266281,250,833.182012
-42.33903,250,834.5473
11.849441,135,835.275444
-32.73014,250,836.827662
-70.548041,250,838.127291
-38.85226,250,856.416052
11.743396,72,856.897785
-33.069951,250,858.345656
-194.601666,250,859.837501
26.313801,40,860.049574
-45.320216,250,861.501879
26.109518,26,861.642253
-148.216742,250,863.037202
26.869398,11,863.092006
-38.243025,250,864.432876
26.640117,15,864.516745
-30.034906,250,865.811915
-6.621968,56,866.145764
26.755994,26,866.304018
16.623402,41,866.638869
-31.381781,250,885.228618
27.741506,17,885.315583
-16.20015,110,885.85296
26.369-59.685461,249,886.-25.924936,250,887.476702
-8.774652,108,888.049402
-87.264579,250,889.536598
21.932782,28,889.719565
-38.98146,250,898.532591
20.107654,45,898.747021
-55.432889,250,900.2228
3.648357,106,900.786325
24.869013,53,901.062694
27.193413,19,901.197678
-172.761996,250,902.577799
17.092351,74,902.964738
9.149471,50,919.865594
12.391837,155,920.653795
-16.285284,110,921.223757
-67.36607,250,922.640141
-68.410526,187,923.588556
-25.787811,250,925.013867
-187.359797,250,926.412984
13.916825,99,926.957182
-22.872015,250,928.344505
19.41695,40,928.55706
12.329151,118,929.36557
28.718811,16,929.471035
5.342149,219,930.951023
16.556095,69,931.320414
-67.631782,114,948.421033
30.092524,10,948.449304
18.245749,61,948.761996
11.563126,34,948.954805
-86.974222,250,950.443846
-22.931625,81,950.84564
0.806704,197,951.821386
19.387974,46,952.045939
14.049-109.443759,250,95227.11217820.473496,43,95211.193528-99.798728,229,953.891641
-25.044788,250,955.509807
-25.562737,250,956.800917
27.864965,17,956.885566
-5.191036,75,957.28449
