#{"t_start": 1749338340.7525969, "env_id": "None"}
r,l,t
2585.351557,250,12608.4333
662.007269,250,12624.622866
1260.569221,250,12641.56934
2701.802705,250,12658.11331
3015.951569,250,12675.302284
3086.071728,250,12695.757269
2322.104308,250,12726.362751
1046.581053,250,12755.43298
2769.343486,250,12779.201432
603.996915,250,12803.373506
2642.111696,250,12827.206251
1720.888767,250,12851.534139
1714.958314,250,12876.143535
1913.960638,250,12901.411374
2011.595566,250,12924.345536
1053.25871,250,12948.015539
2642.345696,250,12971.10894
2906.723954,250,12994.487287
2213.427498,250,13018.990104
2593.80701,250,13054.006944
2011.942563,250,13076.590699
948.333686,250,13101.36362
1855.593102,250,13126.909655
1324.683479,250,13152.841206
2245.564803,250,13177.216431
2341.87242,250,13201.551195
2313.698272,250,13225.574311
2228.213399,250,13253.138901
1531.416673,250,13285.162489
2873.171913,250,13314.587132
2134.897589,250,13350.003766
1001.484767,250,13382.635046
2629.581393,250,13422.119322
1213.49194,250,13454.960428
2763.07794,250,13490.312522
1444.563116,250,13520.138263
1189.481876,250,13545.566997
1424.351148,250,13569.589407
158.568061,4,13570.000035
1267.535807,250,13597.507593
2069.435668,250,13623.211417
912.167722,250,13650.210447
1071.686332,250,13674.015323
860.642467,250,13696.699903
2274.12239,250,13720.549506
1500.482242,250,13743.98399
1452.356729,250,13772.889275
1950.541663,250,13795.519591
2148.090399,250,13820.388902
3407.663962,250,13843.938835
1347.619772,250,13868.445112
2926.702565,250,13892.280014
1819.013611,250,13916.941223
129.896568,2,13917.156951
3303.174271,250,13942.205729
2990.786293,250,13967.804094
1269.989753,250,13991.515654
1081.464293,250,14015.176717
2323.396983,250,14039.153257
960.275496,250,14062.709095
1550.222785,250,14086.888645
2445.219131,250,14103.635888
145.303175,3,14103.822601
1436.904991,250,14119.958527
2070.374808,250,14136.030336
2429.637053,250,14152.63984
1390.435655,250,14168.973161
2450.837377,250,14185.536994
2610.333695,250,14201.948333
1841.763453,250,14218.250406
1812.212526,250,14242.650219
1766.299499,250,14264.512799
1560.941875,250,14286.965233
847.299608,250,14308.734786
2848.918911,250,14331.815095
2793.40173,250,14355.436879
1030.041569,250,14380.176671
1470.515533,250,14404.649414
1748.230932,250,14426.167692
2310.185069,250,14450.943307
2829.361908,250,14475.297168
631.182281,43,14479.229177
888.573941,250,14504.473121
2445.721177,250,14526.465137
1662.574076,250,14547.052967
1481.938142,250,14576.426805
721.983685,250,14599.220435
1433.762286,250,14619.64448
1412.213382,250,14642.750653
2584.0256,250,14663.41853
2249.893159,250,14680.370154
2103.67862,250,14702.431589
1711.632134,250,14721.283401
202.016005,7,14721.806434
2674.867612,250,14742.649247
2745.498666,250,14762.384479
2026.797595,250,14787.269222
3054.809047,250,14808.512511
1815.760679,250,14831.097452
2633.016452,250,14853.925038
3228.860987,250,14881.842675
