#{"t_start": 1750435713.2216318, "env_id": "None"}
r,l,t
-28.968412,250,1012.339415
23.848132,34,1012.504332
24.881304,45,1012.733733
26.916473,23,1012.833377
27.93304,33,1013.027598
19.696582,56,1016.567532
-44.496248,250,1017.776524
19.802341,85,1018.295969
21.943783,48,1018.520755
22.7118.86344,102,1018.86801
-56.700446,116,1019.45-84.89-61.605366,250,1036.367352
21.160946,48,1036.59-31.9314.278717,104,1037.06115.5218.739784,112,1037.59-13.545263,111,1037.9682
25.94726.594036,35,1038.1619.889912,75,1038.467234
4.251194,44,1038.650147
26.343-26.968259,250,1039.696581
19.282636,52,1039.-57.142042,250,1040.2745853.-44.9781,250,1041.604508
26.1511-8.870725,154,1042.220702
10.049743,135,1-28.315167,2-45.03095,250,10-21.46336,2-26.430084,250,114.346176,1822.656231,36,10-31.762611,-21.785228,250,1024.991946,210.196031,127,1063.799745
-15.370179,69,1064.188038
-23.878082,250,1065.501431
28.066388,1-32.618495,250,1065.952575
24.192966,34,-38.791729,250,1067.163138
21.89168,4-80.864016,174,2.395694,57,1-196.746741-111.467884,250,1017.389298,429.080377,23,107.218204,17-152.584571,250,1070.30617
2.074428,48,107.807374,8910.499997,55,111.182301,128,1071.329369
-39.947923,250,1072.685362
21.729092,37,1072.877427
26.794374,44,1073.235652
22.094865,67,1089.233533
-5.901197,-19.013715,250,1090.597908
23.952098,33,1090.786036
22.471211,47,1091.029701
20.868763,44,1-52.47938,250,1092.170381
-27.127866,250,1093.750368
-79.276356,250,1095.261029
-51.743478,250,1096.748633
-61.816111,250,1101.488431
22.133704,42,1101.685824
-117.210032,250,1103.225452
-28.674989,250,1104.480606
19.616485,53,1120.835658
19.754723,61,1121.143501
27.085197,33,1121.305706
25.681466,6,1121.343155
15.037084,61,1121.618048
29.707805,16,1121.7244-109.783562,250,1122.323407
-55.711935,250,1123.517009
23.653869-139.506149,250,1124.589019
-41.207005,250,1125.858067
-33.007997,250,1127.099871
24.702446,22,1127.240659
3.120188,78,1127.623563
21.916511,34,1127.781547
-45.944244,250,1128.923283
-36.51862,250,1130.30696
-20.085456,250,1147.371505
-37.627511,250,1148.646119
-40.072517,250,1150.039141
30.810432,14,1150.121769
14.294731,39,1150.318848
26.629018,17,1150.418413
25.265202,3,1150.43767
-23.570573,250,1151.667567
-15.770165,81,1152.126074
18.693066,95,1152.569511
-24.449514,250,1153.760127
27.016535,59,1154.048195
25.566972,40,1154.308357
4.423201,175,1155.182458
24.587161,47,1155.400454
-38.148255,250,1156.586756
27.168982,15,1156.682089
26.82764,40,1156.958269
17.113181,36,1157.257967
6.417283,45,1173.573467
27.157501,18,1173.66641
-147.563423,220,1174.863877
28.01949,31,1174.993547
27.300445,33,1175.168054
-40.685138,250,1176.629998
24.786696,24,1176.774627
-8.954896,45,1177.040005
17.306942,55,1177.33223
-25.899414,67,1177.697758
26.861659,19,1177.785953
-6.47623,98,1178.297784
27.227716,21,1178.380803
-32.119953,250,1179.867234
-37.022089,110,1180.468427
-311.354539,250,1184.821541
-42.880064,189,1185.736274
26.751918,40,1185.944396
-49.297733,250,1187.264055
11.031823,122,1203.683878
18.36185,45,1203.966051
6.695823,231,1205.137244
-48.003913,250,1206.50398
28.926464,24,1206.653287
21.882794,109,1207.150574
7.738164,84,1207.704424
26.364226,25,1207.875525
-33.616785,250,1209.245829
26.137882,28,1209.407149
25.423408,32,1209.586613
18.148638,47,1209.88208
-65.250867,93,1210.386316
21.908417,48,1210.618788
16.778722,80,1211.01124
-13.055449,88,1211.555008
29.059177,13,1211.64072
7.122635,5-55.591089,250,23.672784,76,-42.139755,25-41.112726,250,8.400628,46,1-9.540222,101,1214.142055
-239.558807,250,1231.436447
23.228013,55,1231.696033
-58.525849,250,1233.012643
-40.015596,250,1234.359149
-29.67176,79,1234.754147
-26.914549,250,1236.269412
28.995553,16,1236.368883
21.067083,47,1236.610535
-20.854641,250,1237.799964
-23.626009,90,1238.277446
-23.52427,250,1239.748915
25.361028,39,1239.978289
17.983441,45,1240.234555
12.272664,32,1240.426593
10.388273,63,1240.751828
21.17946,54,1241.042331
-1.471526,57,1241.375575
27.884815,13,1241.459553
-45.524752,87,1257.667735
-28.369397,250,1259.001779
27.568451,39,1259.181871
22.981032,99,1259.676975
19.844179,19,1259.761985
24.965642,25,1259.879374
28.404466,30,1260.06166
-29.586628,250,1261.457574
25.108371,1,1261.467577
28.954654,20,1261.568421
29.217445,9,1261.602376
26.697109,20,1261.71906
-228.370226,250,1262.974811
21.725268,43,1263.223232
-113.776044,195,1264.229518
17.273369,54,1264.491971
14.933173,137,1265.168106
26.117172,42,1265.388699
28.373703,21,1265.512069
12.684652,45,1268.464993
29.872729,11,1268.5251-35.29.888934,24,1268.65731-28-56.984065,250,1269.9785219.04302,40,1270.196829
-23.485399,134,1287.203402
30.097567,24,1287.342676
23.737819,26,1287.481486
18.45-29.926711,184,1288-89.279289,231,1289.083171
-31.29737,250,1290.61403
-25.067843,250,1291.881274
15.893281,24,1291.996922
28.448481,24,1292.120359
18.568752,42,1292.345272
22.918068,53,1292.64117
14.518258,49,1-33.51546,2-174.63477,250,119.213361,9420.792885,96,1294.685828
-63.738753,250,1296.086335
-39.607179,250,1297.492949
-117.629096,250,1315.228081
22.441614,67,1315.622151
-2.490855,177,1316.617164
19.685414,92,1317.080285
20.382479,47,1317.329498
13.721544,31,1317.503469
26.342046,24,1317.652103
-31.014178,250,1318.945547
20.437922,24,1319.081243
14.644924,29,1319.262788
27.679398,19,1319.384001
-132.450154,250,1320.73115
9.38395,51,1321.012934
26.440321,23,1321.146328
22.759169,48,1321.399621
-29.032249,250,1322.732602
27.479065,27,1322.924592
-16.627139,88,1323.41865
27.971315,7,1323.462153
-30.60819,250,1324.697797
27.487077,23,1324.828164
-29.1571,250,1342.956123
16.789749,60,1343.277638
7.142915,155,1344.063655
-141.748253,250,1345.475213
29.411836,20,1345.576586
15.390823,47,1345.802705
-415.865062,250,1347.277614
13.945744,97,1347.973565
-36.785309,250,1349.803489
10.83654,47,1350.17855
12.384283,42,1350.531633
27.686317,8,1350.615057
-22.521746,250,1352.312701
-409.032627,250,1355.843086
-34.219177,250,1357.109926
-6.138137,59,1374.394946
25.78422,38,1374.594544
25.135199,35,1374.773888
24.256788,20,1374.895917
9.247373,219,1376.043154
29.014931,16,1376.140905
27.60151,13,1376.24681
-30.527033,115,1376.927486
28.133773,8,1376.983298
25.353375,43,1377.182183
25.158961,15,1377.272673
21.3205-47.351923,250,138.659127,66-23.-36.328239-138.686766,250,13-39.303999,5.751493,223,1380-26.111553,250,1381.44892
29.560499,21,1381.572015
14.917197,92,1382.017063
16.693081,79,1382.421543
26.174012,2,1382.449705
-139.184138,250,1383.894451
21.349791,30,1384.023616
-28.764959,250,1402.562566
24.680026,27,1402.745284
24.601823,18,1402.904318
-21.241675,250,1404.364515
30.184571,20,1404.478261
27.566195,16,1404.566978
24.557931,43,1404.804831
-96.893873,250,1406.197842
25.182272,42,1406.442185
1.039932,44,1406.690579
-31.632808,250,1407.962837
21.569117,40,1408.16143
-48.130397,250,1409.435553
19.881968,45,1409.673622
-11.142113,85,1410.119783
30.801993,16,1410.220993
12.281815,133,1410.960368-322.720994,76,1411.387663
26.593349,44,1411.687223
-32.615432,250,1413.018514-422.782261,250,1413.518126-45.787057,143,1430.735407
23.75951,26,1430.905269
26.015546,44,1431.171296
-7.158994,116,1431.779252
28.256799,32,1431.94543-30.980313,242,1432.533054
9.948128,36,1432.741196-26.858896,210,1433.716738--61.794575,250,1434.93632
25.567326,42,1435.140688
-25.855865,250,1436.503521
-51.372944,135,1437.175336
27.1607,15,1437.254377
6.139409,64,1437.563728
23.892876,21,1437.669553
2815.504723,28,1437.863706-35.575967,250,1439.08562
19.626297,39,1439.264945
