time/total_timesteps,rollout/success_rate,time/fps,curriculum/radius,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/value_loss,train/n_updates,train/std,train/entropy_loss,train/explained_variance,train/loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length,eval/success_rate
400000,True,,0.50166845,,,,,-0.005749740470764664,7.591104805282687e-05,0.2560204063533433,0.082379150390625,6.96313641872257,240,0.8815214037895203,-6.46130035482347,0.7035545110702515,1.1743721961975098,0.011649939,-29.37224865,182.1,0.3
409600,0.56,599,0.50166845,149.26,683,25,-20.75686904,,,,,,,,,,,,,,
425984,0.53,599,0.50166845,155.76,710,26,-31.40530206,-0.003996113193443307,7.591104805282687e-05,0.2560204063533433,0.067279052734375,10.663996166642756,250,0.8735617399215698,-6.431800104677677,0.43347597122192383,9.993429183959961,0.010352884,,,
442368,0.5,600,0.50166845,164.54,736,27,-32.51654343999999,-0.005744015735763242,7.591104805282687e-05,0.2560204063533433,0.096710205078125,10.515950340870768,260,0.8712156414985657,-6.401108369603753,0.5228983759880066,6.3606276512146,0.014264859,,,
450000,True,,0.50166845,,,,,-0.004782806390358019,7.591104805282687e-05,0.2560204063533433,0.07769775390625,9.138616860751062,270,0.8655717968940735,-6.375608456134796,0.5583090782165527,7.972447872161865,0.011442166,-8.7821918,160.5,0.4
458752,0.62,598,0.50166845,138.08,767,28,-20.95543385,,,,,,,,,,,,,,
475136,0.61,598,0.50166845,136.15,793,29,-17.124087850000002,-0.0051857346810720625,7.591104805282687e-05,0.2560204063533433,0.077374267578125,12.766991157270969,280,0.8603402972221375,-6.342923308908939,0.43989986181259155,6.187936305999756,0.012254534,,,
491520,0.66,597,0.50166845,128.73,822,30,-18.338091570000003,-0.003540525920652726,7.591104805282687e-05,0.2560204063533433,0.086029052734375,11.88598494734615,290,0.8557680249214172,-6.3106300894171,0.4711085557937622,5.8615899085998535,0.012157526,,,
500000,False,,0.50166845,,,,,-0.00309898080304265,7.591104805282687e-05,0.2560204063533433,0.08629150390625,13.434573263116182,300,0.8541274070739746,-6.293955351039767,0.5672814249992371,5.945209503173828,0.011847112,-13.935859149999999,169.8,0.35
507904,0.7,596,0.50166845,116.7,852,31,-10.63902004,,,,,,,,,,,,,,
524288,0.61,596,0.50166845,144.18,878,32,-20.055867560000003,-0.0038426439235990984,7.591104805282687e-05,0.2560204063533433,0.072076416015625,13.053472668305039,310,0.8468198776245117,-6.2675947293639185,0.601016640663147,11.262328147888184,0.011813343,,,
540672,0.53,597,0.50166845,151.4,904,33,-26.94459476,-0.0047714868092953115,7.591104805282687e-05,0.2560204063533433,0.086370849609375,11.60712418910116,320,0.8407503962516785,-6.225711514428258,0.4666375517845154,5.9736833572387695,0.011938064,,,
550000,False,,0.50166845,,,,,-0.005352384396246634,7.591104805282687e-05,0.2560204063533433,0.09769287109375,10.772435559146107,330,0.833061695098877,-6.184150948002935,0.49599534273147583,9.347237586975098,0.013773153,-16.868887100000002,157.3,0.4
557056,0.66,596,0.50166845,131.55,934,34,-13.42670904,,,,,,,,,,,,,,
573440,0.59,596,0.50166845,138.99,961,35,-21.293938510000004,-0.0033858336550110836,7.591104805282687e-05,0.2560204063533433,0.075750732421875,13.096096673607827,340,0.8287520408630371,-6.148198591545224,0.3829060196876526,1.5106161832809448,0.011276058,,,
589824,0.65,596,0.50166845,129.36,988,36,-14.673918939999997,-0.0036976099891944613,7.591104805282687e-05,0.2560204063533433,0.089453125,11.872299929149449,350,0.8237784504890442,-6.119255443662405,0.5091016292572021,18.471342086791992,0.012603264,,,
600000,True,,0.50166845,,,,,-0.005281315991123847,7.591104805282687e-05,0.2560204063533433,0.096331787109375,13.54679637271911,360,0.8153162002563477,-6.077375018969178,0.4605392813682556,15.074596405029297,0.01326893,-24.404463849999996,158.65,0.4
606208,0.64,594,0.50166845,129.64,1020,37,-11.093753710000001,,,,,,,,,,,,,,
622592,0.68,594,0.50166845,126.57,1046,38,-10.10989358,-0.0023906118474769757,7.591104805282687e-05,0.2560204063533433,0.08035888671875,13.377214543335139,370,0.8114438056945801,-6.040382505208254,0.4669504761695862,9.780728340148926,0.012544492,,,
638976,0.65,595,0.50166845,126.94,1073,39,-10.72630817,-0.003296581141967181,7.591104805282687e-05,0.2560204063533433,0.09580078125,14.251922405324876,380,0.8053869009017944,-6.006390433758497,0.37798476219177246,2.245133876800537,0.014001282,,,
650000,True,,0.50166845,,,,,-0.002767481530463556,7.591104805282687e-05,0.2560204063533433,0.078692626953125,14.009568468853832,390,0.8017683029174805,-5.975000369921327,0.42668241262435913,5.814323425292969,0.012621883,-6.6630048,125.7,0.55
655360,0.59,593,0.50166845,136.08,1104,40,-16.24372073,,,,,,,,,,,,,,
671744,0.69,593,0.50166845,116.83,1131,41,-6.564778640000001,-0.0015232565097903716,7.591104805282687e-05,0.2560204063533433,0.07464599609375,14.331293791532516,400,0.799148440361023,-5.954454235732555,0.40185707807540894,6.157680988311768,0.011935993,,,
688128,0.66,594,0.50166845,129.16,1157,42,-12.886346150000001,-0.0027828664797198144,7.591104805282687e-05,0.2560204063533433,0.098822021484375,13.538458318263292,410,0.7913048267364502,-5.917573801800609,0.4362279772758484,8.509770393371582,0.013428256,,,
700000,True,,0.50166845,,,,,-0.0023928620259539455,7.591104805282687e-05,0.2560204063533433,0.084234619140625,13.317332422174513,420,0.7834285497665405,-5.866019038856029,0.5184919238090515,13.293854713439941,0.011379644,-9.581241349999999,152.2,0.45
704512,0.72,593,0.50166845,112.95,1187,43,-8.372273999999999,,,,,,,,,,,,,,
720896,0.73,593,0.50166845,112.72,1214,44,-6.4002319499999984,-0.002966634511903976,7.591104805282687e-05,0.2560204063533433,0.0913330078125,15.98841359410435,430,0.7784148454666138,-5.823253072053194,0.4592512249946594,4.92540168762207,0.013987247,,,
737280,0.77,593,0.50166845,112.19,1241,45,-7.083901969999999,-0.002851961092528654,7.591104805282687e-05,0.2560204063533433,0.08780517578125,14.361032350175083,440,0.7735362648963928,-5.790979343280196,0.42843782901763916,6.062869071960449,0.011954077,,,
750000,True,,0.50166845,,,,,-0.003233927441215201,7.591104805282687e-05,0.2560204063533433,0.090155029296875,17.368699250742793,450,0.7698202729225159,-5.762318157032132,0.47936028242111206,5.559652328491211,0.01306597,-5.393670649999999,125.6,0.55
